CASPAS3,,,,
Sample,Run1,Run2,,Ct AVE
TN,25.97954941,26.60697746,,26.29326344
TN,26.87142563,27.22346115,,27.04744339
TN,26.81446648,27.73682022,,27.27564335
TN,26.96274757,27.18981934,,27.07628345
TN,25.72415543,26.35784721,,26.04100132
TN,25.71631241,25.9483242,,25.83231831
HS,26.7746067,27.06230545,,26.91845608
HS,26.07497978,26.34056664,,26.20777321
HS,27.96348,28.25139236,,28.10743618
HS,26.70939445,27.56293488,,27.13616467
HS,28.99551773,29.08449173,,29.04000473
HS,26.9863739,27.22934151,,27.1078577
HSAX,27.47479248,27.59606361,,27.53542805
HSAX,26.82031441,27.55608368,,27.18819904
HSAX,26.31140709,26.80742455,,26.55941582
HSAX,27.56799889,27.5091629,,27.53858089
HSAX,29.78785133,30.12381554,,29.95583344
HSAX,27.87531281,28.25417709,,28.06474495
