CDH1,,,,
Sample,Run1,Run2,,Ct Ave
TN,18.55428886,17.39152527,,17.97290707
TN,19.62242126,18.46844482,,19.04543304
TN,19.75190353,18.62774086,,19.1898222
TN,19.6054821,18.44379807,,19.02464008
TN,18.44069099,17.32375908,,17.88222504
TN,18.2146492,17.15791512,,17.68628216
HS,19.74749756,18.63175201,,19.18962479
HS,19.7114315,18.5021534,,19.10679245
HS,19.98545456,18.80880356,,19.39712906
HS,19.66222382,18.44832993,,19.05527687
HS,19.68563461,18.5668869,,19.12626076
HS,19.38714409,18.46073151,,18.9239378
HSAX,20.64047813,18.80539322,,19.72293568
HSAX,20.27451515,18.79104233,,19.53277874
HSAX,19.5156765,18.21361542,,18.86464596
HSAX,20.03946686,18.71850586,,19.37898636
HSAX,22.36094475,21.09079742,,21.72587109
HSAX,21.48147964,20.15015221,,20.81581593
