GPX1,,,,
Sample,Run1,Run2,,Ct AVE
TN,22.19480896,20.49816513,,21.34648705
TN,23.3137455,21.65962982,,22.48668766
TN,23.62054253,21.92847824,,22.77451038
TN,23.76672173,22.09006882,,22.92839527
TN,22.66876602,20.98287964,,21.82582283
TN,22.49348831,21.01097107,,21.75222969
HS,23.87792587,22.17319679,,23.02556133
HS,22.84306717,21.11515999,,21.97911358
HS,24.53435516,22.92225838,,23.72830677
HS,23.80587959,21.95713234,,22.88150597
HS,24.64843559,22.97179985,,23.81011772
HS,22.85124016,21.31394768,,22.08259392
HSAX,22.14963341,20.53372192,,21.34167767
HSAX,24.27070999,22.51804352,,23.39437675
HSAX,23.06316948,21.19717789,,22.13017368
HSAX,23.72984123,21.98926735,,22.85955429
HSAX,25.72507286,24.02372169,,24.87439728
HSAX,25.07006645,23.45127487,,24.26067066
