HMOX1,,,,
Sample,Run1,Run2,,Ct AVE
TN,27.47783661,27.79887199,,27.6383543
TN,28.48548508,28.60108566,,28.54328537
TN,28.48297882,28.5260582,,28.50451851
TN,29.62079048,29.7393589,,29.68007469
TN,28.65226746,28.82458115,,28.7384243
TN,27.85962105,27.8924942,,27.87605762
HS,28.0347271,28.28927612,,28.16200161
HS,28.3259964,28.57648468,,28.45124054
HS,28.73077774,28.92431259,,28.82754517
HS,28.07975197,28.3260479,,28.20289993
HS,28.96159935,29.31915283,,29.14037609
HS,28.74456215,28.99396133,,28.86926174
HSAX,28.66548347,28.63428497,,28.64988422
HSAX,29.95334053,29.65190697,,29.80262375
HSAX,29.42938042,29.44519043,,29.43728542
HSAX,29.69875717,29.8780117,,29.78838444
HSAX,31.71800423,31.50697517,,31.6124897
HSAX,30.42567253,30.95380402,,30.68973827
