HSF1,,,,,,
Sample,Target,Run1,Run2,Run3,,Ct Ave (R1&R3)
TN,HSF1,25.08460808,26.00329399,26.30860519,,25.69660664
TN,HSF1,24.65344048,25.05486679,25.98801613,,25.3207283
TN,HSF1,27.97013855,24.72556114,30.8691864,,29.41966248
TN,HSF1,26.98638725,30.24318886,30.96036148,,28.97337437
TN,HSF1,26.23542976,29.16418266,30.03135681,,28.13339329
TN,HSF1,23.74356079,28.6149826,25.84194946,,24.79275513
HS,HSF1,24.42179108,25.549757,25.4445343,,24.93316269
HS,HSF1,25.69693947,26.50372124,26.27260971,,25.98477459
HS,HSF1,26.62530518,27.20272827,27.42294121,,27.02412319
HS,HSF1,25.24736595,25.55952454,25.69863129,,25.47299862
HS,HSF1,25.93556213,26.75255203,27.00696945,,26.47126579
HS,HSF1,25.63989067,25.97167778,26.68369865,,26.16179466
HSAX,HSF1,25.00227165,26.28073883,26.5092659,,25.75576878
HSAX,HSF1,25.44732094,26.80005455,27.23641968,,26.34187031
HSAX,HSF1,24.93679619,25.53324318,25.67404938,,25.30542278
HSAX,HSF1,27.50153351,30.14525032,30.56970978,,29.03562164
HSAX,HSF1,28.55056381,29.30132675,29.84041595,,29.19548988
HSAX,HSF1,27.0265522,27.41953278,27.72830582,,27.37742901
