HSF2,,,,
Sample,Run1,Run2,,Ct Ave
TN,27.08057213,28.98768234,,28.03412724
TN,29.61276817,30.34483147,,29.97879982
TN,28.43538094,29.84761047,,29.1414957
TN,28.39951134,30.10095787,,29.2502346
TN,27.42461395,29.58511353,,28.50486374
TN,27.06295204,27.876688,,27.46982002
HS,29.30316353,29.36419868,,29.33368111
HS,28.90206337,28.85415649,,28.87810993
HS,30.05896378,30.67547417,,30.36721897
HS,30.12984276,30.7366066,,30.43322468
HS,29.42956161,29.63032913,,29.52994537
HS,28.65446663,28.58558655,,28.62002659
HSAX,29.03256607,30.11591148,,29.57423878
HSAX,27.93610001,28.92635345,,28.43122673
HSAX,28.66310692,30.31886101,,29.49098396
HSAX,29.06113625,30.24274826,,29.65194225
HSAX,30.49203491,31.62958145,,31.06080818
HSAX,28.53313255,29.23304367,,28.88308811
