HSF3,,,,,
Sample,Run1,Run2,Run3,,Ct Ave (R1 &R3)
TN,25.86780167,23.69037628,26.04991341,,25.95885754
TN,26.8126812,24.33039665,27.25601196,,27.03434658
TN,26.87963676,22.44012833,27.2207737,,27.05020523
TN,26.98189735,24.65118217,27.71367455,,27.34778595
TN,25.24507523,24.8503437,25.59355164,,25.41931343
TN,24.63863754,23.15037346,25.44823837,,25.04343796
HS,26.92298889,25.64530373,27.4866066,,27.20479774
HS,26.41771507,24.70381355,26.7856636,,26.60168934
HS,27.45705223,25.86879921,27.89827347,,27.67766285
HS,27.31653404,24.65611076,27.07192039,,27.19422722
HS,27.2298336,24.93264198,27.29922295,,27.26452827
HS,26.33744049,24.98578072,27.01591301,,26.67667675
HSAX,26.80794334,25.48541832,27.94062996,,27.37428665
HSAX,26.54075623,24.75166321,28.19091797,,27.3658371
HSAX,26.11208344,24.17936325,26.70517159,,26.40862751
HSAX,27.32091713,25.51375008,28.2023716,,27.76164436
HSAX,30.82209969,28.8372364,31.34261513,,31.08235741
HSAX,28.4604969,26.2936554,28.57030678,,28.51540184
