HSP90,,,,
Sample,Run1,Run2,,Ct AVE
TN,21.97216415,21.72449303,,21.84832859
TN,21.92154694,21.68260384,,21.80207539
TN,21.05354881,21.49965286,,21.27660084
TN,21.43183136,21.16610527,,21.29896832
TN,21.01067543,20.80467606,,20.90767574
TN,20.62490273,20.44968605,,20.53729439
HS,21.99150658,22.28007126,,22.13578892
HS,21.92107773,21.91288185,,21.91697979
HS,22.62352943,23.28067398,,22.95210171
HS,23.16832352,23.97261429,,23.5704689
HS,23.2298069,22.13827896,,22.68404293
HS,22.25407982,21.95985794,,22.10696888
HSAX,20.79987717,20.62370682,,20.71179199
HSAX,23.97340965,24.62256622,,24.29798794
HSAX,22.11380959,21.78874397,,21.95127678
HSAX,23.12988281,22.94247437,,23.03617859
HSAX,25.88025856,25.76779556,,25.82402706
HSAX,26.33489609,26.02857208,,26.18173409
