ROS,,,,,
Sample,Run1,Run2,Run3,,Ct Ave
TN,23.95567131,34.81541443,24.22769165,,24.09168148
TN,25.09613037,Undetermined,25.40121269,,25.24867153
TN,24.82766724,36.95222473,24.76173973,,24.79470348
TN,24.95226288,36.36791229,25.23317528,,25.09271908
TN,24.30909348,33.691185,24.11800194,,24.21354771
TN,24.41817093,35.29863739,24.74988937,,24.58403015
HS,25.44903183,32.37771606,26.67046165,,26.05974674
HS,24.25234222,32.84587097,24.59894943,,24.42564583
HS,25.16543961,31.94412804,25.88531494,,25.52537727
HS,24.82015038,32.34843063,25.75438881,,25.28726959
HS,24.77113724,30.88091469,26.24044037,,25.5057888
HS,25.94826698,29.62796211,26.50720787,,26.22773743
HSAX,25.04488182,33.46332932,25.27374268,,25.15931225
HSAX,24.84832191,32.08506012,25.19207954,,25.02020073
HSAX,25.07712173,32.26644135,25.62773323,,25.35242748
HSAX,25.5965004,33.38760757,26.47345161,,26.03497601
HSAX,28.5799427,32.28012848,29.36848068,,28.97421169
HSAX,26.86361885,31.47082901,27.17308998,,27.01835442
