SOD1,,,,
Sample,Run1,Run2,,Ct AVE
TN,20.3863678,21.73002052,,21.05819416
TN,21.0529232,22.60768318,,21.83030319
TN,21.53218651,22.80401802,,22.16810226
TN,20.70471573,22.22585869,,21.46528721
TN,19.6680851,21.14688492,,20.40748501
TN,19.56784821,20.97049522,,20.26917171
HS,22.05121422,23.3175621,,22.68438816
HS,21.50152397,23.10572815,,22.30362606
HS,21.26822853,22.8477726,,22.05800056
HS,21.26327324,22.79688835,,22.0300808
HS,20.97577477,22.60132217,,21.78854847
HS,21.41373825,22.95691681,,22.18532753
HSAX,20.72757721,22.24125671,,21.48441696
HSAX,21.18982124,22.66340446,,21.92661285
HSAX,20.92076111,22.25336075,,21.58706093
HSAX,21.14051247,22.94672394,,22.0436182
HSAX,22.86952782,24.34946823,,23.60949802
HSAX,22.61042976,24.00201035,,23.30622005
